Country,GDP ($ USD billions PPP),GDP per capita in $ (PPP),Military Spending as % of GDP,health expenditure % of GDP,health expenditure per person,unemployment (%)
"Gambia, The",5.2183362175,2310.12230175,0.007743257,2.444549590625,32.7701664,20.455999945
Georgia,54.562426040000005,15486.0369175,0.0183661085,3.54508873825,440.6229858333333,11.129500199999999
Germany,4398.010781,55915.0974575,0.0131869215,4.906461716,5426.412923333333,3.917500043
Ghana,168.6434456,5786.009333,0.004460503,4.089043299333333,133.70413462333332,5.2519999980000005
Greece,308.67795635,29804.40245,0.032336848,3.5832900405,1759.0930583333331,19.34750004
Guatemala,143.91384512500002,9076.2594525,0.0042228375,3.10582000025,324.88048299999997,2.9860000135
Guinea,33.36709585,2716.76764475,0.0174227055,2.3045525104999998,45.24799601,6.571000004
Guinea-Bissau,3.6749478445,1993.5622315,0.0159131935,2.437818169625,74.60379918333332,6.6294999125
Guyana,13.068546655,17651.66737,0.013282581000000002,4.426620086,321.11114503333334,13.912499619999998
Haiti,34.0343583375,3166.579826,0.001885407,1.6290699838333333,80.04423777,14.462999915
Honduras,54.633136565,5866.67587475,0.0160294035,5.93074089275,240.4813792,7.4064997675
Hungary,312.916025225,62392.4845,0.0141803295,4.594799995333333,1349.4705809999998,4.6580000875
Iceland,19.9168828025,33863.719885,,7.539809942333332,5652.279622666666,4.600500011499999
India,8947.6575255,6875.060931,0.02528895,4.341932773714285,120.67133204,4.7390000820000004
Indonesia,3154.34604525,12232.6999275,0.0069796295,3.1036128655714283,200.26147716666665,5.0065000535
Iran,1248.5610116666667,15667.035223333332,0.022995801,3.444790035625,738.9070638,11.38050022
Iraq,400.886695625,10630.22503075,0.0289147835,4.599999904500001,324.5758717666667,15.096000195
Ireland,450.346175225,92935.292075,0.002823956,3.7790699800000005,5415.936686,7.3664999485
Israel,367.892736275,40780.2647525,0.0523581215,5.961216688166666,3201.5399576666664,5.322500037999999
Italy,2473.37803575,43834.0546975,0.0146136505,4.084653337833333,3085.7369793333332,10.666999817
Jamaica,27.6186642125,9855.94901675,0.015063601499999999,6.286966919375001,386.09356690000004,11.24100008
Japan,5184.89178475,42359.922045,0.009867576,3.1968480111999997,4340.523112,2.9495000124999997
Jordan,101.0143533575,10513.8079525,0.0485947765,3.2704443252857147,412.4182637666667,16.226000405
Kazakhstan,481.27487659999997,27242.2514,0.009831843,2.895577158285714,483.93995160000003,5.0500000475
Kenya,235.68847597500002,4675.38991875,0.0115955455,5.50989025825,104.65068562666666,8.3710000515
Korea (Dem. People’s Rep.),,2187.032172,,11.258527211714286,,3.446000004
Korea (Rep.),2213.87834875,,0.027385098,,2584.0648195,3.6160000325
Kosovo,19.9142163825,44546.749840000004,0.0086992945,4.3943748475,,
Kuwait,204.31597533333334,50549.58277666667,0.061453112000000004,5.921100080125,2156.827758666667,3.0569999935
Kyrgyzstan,32.4308965525,5252.2244012500005,0.015846068999999997,5.800219944285715,138.29394531333332,8.402000046
Laos,56.3128592475,8226.564256,0.002,2.4313016335,62.965423585,1.379000008
